ponderation,troncon_fid
73.98721260097665,101
100.0,102
84.21227275008621,103
89.83980358900126,104
69.35742890727211,105
95.82698628616768,106
100.0,107
60.138569907406655,108
68.99253278816084,109
24.66966764446463,110
68.68724622068154,111
76.14471348267156,112
25.064705963557167,113
20.52246250433861,114
93.0494531405062,201
85.56398222195976,202
65.45800705797447,203
54.83194490113332,204
45.48564410200763,205
53.13313577250739,206
40.45648029508914,207
61.841383256098595,208
62.056483817700226,209
43.42645460849531,210
17.0,211
17.2440098463696,212
18.35009563180956,213
20.125640321444344,214
