class,area,proportion
Arbres,125839.70000000004,62.1
Arbustaie,22699.413999999997,11.2
Herbacée,440.673,0.2
Coupe,0,0.0
Friche,15322.513000000003,7.6
Culture,0,0.0
Sol nu,1681.2469999999998,0.8
Socle,0,0.0
Infrastructure,36299.29899999999,17.9
Eau,353.898,0.2
