ponderation,troncon_fid
52.23466253788424,101
91.19484153310631,102
88.5717080954945,103
85.59462470435727,104
89.91674758786971,105
100.0,106
98.63699958929575,107
78.05267324001713,108
93.07004988966453,109
90.41735068737587,110
88.18748361530254,111
93.53217769149856,112
45.5006742190375,113
52.2532456234901,114
100.0,201
91.17208286665866,202
100.0,203
83.49334467446832,204
85.1671229186664,205
73.40809275023892,206
57.75126825836014,207
80.46795266514661,208
50.64943975731158,209
86.39522021684961,210
51.94161586450681,211
36.72466704517651,212
40.568583669809584,213
20.83413944363373,214
